district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
70904,Roseland Elementary,SONOMA,KK-06,1154,62.099998474121094,22.92770004272461,84.92060089111328,129,6056.4970703125,11.664999961853027,55.89254379272461,636.79998779296875,631.5
70615,Bellevue Union Elementary,sonoma,KK-06,1469,78.0999984741211,20.96660041809082,80.258697509765625,65,6538.41796875,14.034250259399414,43.49897766113281,639.4000244140625,647.0999755859375
71001,West Side Union Elementary,Sonoma,KK-06,150,8.25,3.225800037384033,23.225799560546875,16,5132.78857421875,18.326000213623047,14,655.20001220703125,643.4000244140625
70821,Montgomery Elementary,Sonoma,KK-08,92,5.599999904632568,13.54170036315918,0,22,6113.85986328125,22.52899932861328,0,656.0999755859375,645.70001220703125
70912,Santa Rosa Elementary,Sonoma,KK-06,4971,297.1400146484375,14.709400177001953,55.100799560546875,500,5850,18.298389434814453,31.824583053588867,653.29998779296875,649
70813,Monte Rio Union Elementary,sonoma,KK-08,181,10,25.414400100708008,66.850799560546875,26,6049.4951171875,14.475000381469727,0,651.9000244140625,651.79998779296875
70649,Cinnabar Elementary,Sonoma,KK-06,287,16.170000076293945,3.793100118637085,31.034500122070313,65,5973.92529296875,17.1560001373291,14.98257827758789,655.0999755859375,649.5
70722,Guerneville Elementary,Sonoma,KK-08,511,27.200000762939453,27.48539924621582,51.851898193359375,30,5774.97021484375,13.437000274658203,3.9138941764831543,664.20001220703125,650.9000244140625
70599,Alexander Valley Union Elementary,SONOMA,KK-06,119,7,4,33.599998474121094,23,5990.79443359375,18.326000213623047,28.571430206298828,661.70001220703125,658.4000244140625
70730,Harmony Union Elementary,Sonoma,KK-08,564,27.43000030517578,6.896599769592285,21.37929916381836,46,4905.22119140625,18.368999481201172,4.432624340057373,672.4000244140625,650.79998779296875
70680,Forestville Union Elementary,Sonoma,KK-08,717,35.95000076293945,8.888899803161621,24.722200393676758,100,5442.14306640625,16.347000122070313,2.231520175933838,669.4000244140625,655.70001220703125
70870,Piner-Olivet Union Elementary,Sonoma,KK-06,1792,88.55000305175781,3.125,20.926300048828125,143,5072.70458984375,15.770999908447266,5.5245537757873535,667.4000244140625,659.29998779296875
71035,Wright Elementary,sonoma,KK-06,1252,65.11000061035156,9.451199531555176,43.21649932861328,113,5284.1640625,12.584250450134277,20.766773223876953,659.4000244140625,668.29998779296875
70847,Old Adobe Union Elementary,Sonoma,KK-06,2231,114.30000305175781,2.916100025177002,13.369199752807617,258,5599.60791015625,16.95599937438965,13.626175880432129,666.20001220703125,661.79998779296875
71019,Wilmar Union Elementary,Sonoma,KK-06,271,14.199999809265137,4.467400074005127,25.42959976196289,81,4881.8994140625,17.708999633789063,13.284132957458496,668.70001220703125,659.29998779296875
70854,Petaluma City Elementary,SONOMA,KK-06,2569,138,5.486400127410889,24.747100830078125,326,5400,17.36944580078125,15.33670711517334,669.79998779296875,660.9000244140625
70714,Gravenstein Union Elementary,Sonoma,KK-08,573,29.600000381469727,6.993000030517578,15.209799766540527,48,5302.6279296875,17.507999420166016,3.3158812522888184,671,661.29998779296875
70805,Mark West Union Elementary,Sonoma,KK-06,1588,83.4000015258789,6.798500061035156,20.58099937438965,220,5301.71630859375,18.67099952697754,3.8413100242614746,671.29998779296875,662.4000244140625
70938,Sebastopol Union Elementary,Sonoma,KK-08,1425,71.83000183105469,5.092599868774414,19.8302001953125,65,4999.46875,17.507999420166016,4.912280559539795,669.79998779296875,664.5999755859375
70672,Dunham Elementary,Sonoma,KK-06,155,8,0.6452000141143799,12.258099555969238,32,5695.466796875,17.708999633789063,4.516129016876221,672.29998779296875,671.5999755859375
70995,Waugh Elementary,sonoma,KK-06,734,36,2.0243000984191895,12.820500373840332,117,4920.77734375,16.95599937438965,6.539509296417236,676.0999755859375,669.29998779296875
70979,Two Rock Union Elementary,sonoma,KK-06,189,11.600000381469727,2.072499990463257,32.1244010925293,50,6905.869140625,17.708999633789063,14.285715103149414,679.0999755859375,667
70961,Twin Hills Union Elementary,sonoma,KK-08,878,47.900001525878906,1.375,15.75,105,5329.7822265625,17.507999420166016,2.733485221862793,681,669.79998779296875
70698,Fort Ross Elementary,Sonoma,KK-08,81,5.099999904632568,3.614500045776367,0,14,7667.57177734375,22.52899932861328,0,685.29998779296875,671.5
70896,Rincon Valley Union Elementary,SONOMA,KK-06,2707,141.02000427246094,5.139599800109863,19.23080062866211,300,5235.77490234375,20.480222702026367,4.469892978668213,678.70001220703125,680.79998779296875
70623,Bennett Valley Union Elementary,sonoma,KK-06,945,46,4.2399001121521,10.65149974822998,216,5088.7080078125,19.346500396728516,2.539682626724243,685.70001220703125,674.4000244140625
70789,Kenwood Elementary,Sonoma,KK-06,164,10.510000228881836,2.3529000282287598,12.941200256347656,35,6588.4306640625,22.86333465576172,11.585366249084473,682.79998779296875,679.79998779296875
70797,Liberty Elementary,Sonoma,KK-06,167,10.920000076293945,0.520799994468689,11.45829963684082,29,6196.69482421875,17.708999633789063,11.37724494934082,680.79998779296875,681.79998779296875
70839,Oak Grove Union Elementary,Sonoma,KK-08,600,32,2.6940999031066895,29.318500518798828,55,4841.95849609375,16.06399917602539,5.333333492279053,680,684.9000244140625
